PetID,AvgLaPlacianVariance
0008c5398,477.04863967113823
000a290e4,1662.4841016081464
000fb9572,656.657562144041
0011d7c25,368.0510702761751
00156db4a,3463.884191069362
001a1aaad,1513.7697077241219
001b1507c,166.94700330211808
002230dea,833.0064466212175
002278114,586.4773383604498
0025a8313,682.7782985670384
0038234c6,156.37410658355844
0038c9343,289.6667070495278
003dd2e26,4670.580786391355
0045ed62a,329.51364232201394
004709939,840.1899978510186
004a26127,2094.926968959973
004c2f355,113.10051934319445
0052dcf47,452.4538250374994
00553ae55,186.52399303680554
0058586f1,514.9693002805631
005afe792,438.8795755581483
005bb92d8,2708.8861036936996
0063bd7e0,246.80300677618163
0063f83c9,91.75230766355904
00648f96f,506.8036710279457
006610fe3,1678.0449404827084
006d301e9,795.0098388281077
006ffebaf,691.7795250990168
00709d75b,1209.6051822076624
0073c33d0,95.79059627905447
007bc1db4,598.4748458080552
007ffeccd,176.3122081688427
00904fc2c,200.94890715993054
0090eb457,1153.9831225086978
009239f92,272.06782637436106
00a1a8af4,402.383924090625
00a1f270a,131.8227637716298
00ac364a4,3113.1297179952735
00af25fc0,1546.4173519827427
00b00d5c1,188.19052979284413
00b23513e,186.03930929808337
00be0a63e,654.681280552337
00bfa5da9,2778.545939225774
00c19f4fa,1337.882768215603
00c71a320,997.8491285204167
00e50c7a7,6887.586096843656
00eca0391,1180.7012974436168
00eced1f0,1144.1622726655555
00f3a3993,394.7127809898066
00f63c6fc,1043.7684430160416
00f997463,1209.613932746309
010a59236,558.4173960906892
0111f92ff,413.6688234517918
011350faf,953.2164271824037
01142a354,669.2754374530343
01186c9fc,456.2011414843964
0118db3a8,715.6584820796336
011a11cda,628.6471585625796
01231c438,237.54203298612228
012a1a396,4575.769211022061
0133b0214,257.7357540923696
0133b2a29,807.1608859232925
013527aeb,15694.051461856277
0142670c8,355.85378867024303
0143edd0a,333.0680404724121
0146f6d2c,75.0546123263889
0149d04e7,895.4872348481174
014ce5783,2239.5839319002785
0154e0f7b,196.6564125974593
01573c686,761.2750774161319
015770429,418.9425082982731
0157cf3a4,1631.5821026550927
015b8b722,90.44210584883412
015c353ce,5355.402130217683
015c75c9e,485.6237957070148
015da0878,236.65132935543195
015da9e87,577.6526405672755
015fdb354,7551.941288429817
01603d6e2,453.74317452757276
0162634c2,850.7752074597917
0164a9cfb,1228.7680589706756
