PetID,FirstLaPlacianVariance,AvgLaPlacianVariance,MinLaPlacianVariance,MaxLaPlacianVariance
0008c5398,245.57618727071343,477.04863967113823,78.53235144511825,1355.6488206199363
000a290e4,1628.0750393563726,1662.4841016081464,1628.0750393563726,1696.8931638599202
000fb9572,462.08770882156387,656.657562144041,199.25906853993055,2284.097414563377
0011d7c25,760.9341142803213,368.0510702761751,142.08129999,760.9341142803213
00156db4a,275.0500626070467,3463.884191069362,275.0500626070467,5308.618431016619
001a1aaad,3169.750824999481,1513.7697077241219,193.266673404814,3169.750824999481
001b1507c,190.9081255863889,166.94700330211808,74.09495346555558,250.1504432788889
002230dea,1099.2641365248437,833.0064466212175,369.23089975,1233.42775360569
002278114,1194.1724664303626,586.4773383604498,185.53702630362477,1232.5918857828776
0025a8313,410.0300837362731,682.7782985670384,410.0300837362731,955.5265133978037
0038234c6,347.24344837962974,156.37410658355844,58.73112711106288,347.24344837962974
0038c9343,502.95394730666663,289.6667070495278,47.11875663888889,502.95394730666663
003dd2e26,2710.9349664249316,4670.580786391355,2710.9349664249316,5880.491689195555
0045ed62a,291.1869158263889,329.51364232201394,291.1869158263889,406.16709531326387
004709939,1072.5911139066666,840.1899978510186,394.8269142641666,1072.5911139066666
004a26127,244.80696447418256,2094.926968959973,244.80696447418256,3945.0469734457633
004c2f355,179.70627222222222,113.10051934319445,46.494766464166666,179.70627222222222
0052dcf47,1032.24564756775,452.4538250374994,137.2616106166529,1032.24564756775
00553ae55,120.27345574659722,186.52399303680554,53.81871766493056,350.9112738641666
0058586f1,791.4580013759694,514.9693002805631,212.08286244875586,791.4580013759694
005afe792,224.60948123914926,438.8795755581483,32.84186665666666,1873.8982201578779
005bb92d8,2708.8861036936996,2708.8861036936996,2708.8861036936996,2708.8861036936996
0063bd7e0,229.32061643376804,246.80300677618163,229.32061643376804,264.2853971185952
0063f83c9,151.40516641604168,91.75230766355904,32.32397657333334,151.40516641604168
00648f96f,517.650027484375,506.8036710279457,495.9573145715165,517.650027484375
006610fe3,1678.0449404827084,1678.0449404827084,1678.0449404827084,1678.0449404827084
006d301e9,164.30221388888887,795.0098388281077,164.30221388888887,1853.5805008263892
006ffebaf,315.40499792308606,691.7795250990168,315.40499792308606,901.801535329194
00709d75b,880.0055739483114,1209.6051822076624,880.0055739483114,1717.5160144139074
0073c33d0,95.79059627905447,95.79059627905447,95.79059627905447,95.79059627905447
007bc1db4,616.4056292170018,598.4748458080552,322.37772657522623,979.8702644320932
007ffeccd,55.979665028122874,176.3122081688427,38.16621807292602,520.9418479122041
00904fc2c,270.8240402065972,200.94890715993054,131.07377411326388,270.8240402065972
0090eb457,1590.0929429955418,1153.9831225086978,916.4733763436024,1590.0929429955418
009239f92,496.77385830826387,272.06782637436106,78.40195324416666,496.77385830826387
00a1a8af4,377.57264637326386,402.383924090625,377.57264637326386,423.8960849322222
00a1f270a,154.16890126499126,131.8227637716298,72.28540207851081,246.51690520062857
00ac364a4,3113.1297179952735,3113.1297179952735,3113.1297179952735,3113.1297179952735
00af25fc0,3642.518847400774,1546.4173519827427,443.70676022541255,3642.518847400774
00b00d5c1,260.5338139554258,188.19052979284413,120.63055558839581,260.5338139554258
00b23513e,695.3904959330557,186.03930929808337,47.965341354930565,695.3904959330557
00be0a63e,1141.180665022945,654.681280552337,271.5169125286337,1141.180665022945
00bfa5da9,865.6851754724291,2778.545939225774,865.6851754724291,4691.406702979119
00c19f4fa,1337.882768215603,1337.882768215603,1337.882768215603,1337.882768215603
00c71a320,1023.2790467308332,997.8491285204167,972.4192103100002,1023.2790467308332
00e50c7a7,8614.906983520134,6887.586096843656,4338.090099777437,8614.906983520134
00eca0391,1862.5169732815382,1180.7012974436168,576.6157349461685,1862.5169732815382
00eced1f0,1144.1622726655555,1144.1622726655555,1144.1622726655555,1144.1622726655555
00f3a3993,379.3622581217969,394.7127809898066,216.28066309799382,614.267480795551
00f63c6fc,1043.7684430160416,1043.7684430160416,1043.7684430160416,1043.7684430160416
00f997463,2672.2506834104756,1209.613932746309,102.26877839956283,3493.065204846342
010a59236,1234.1430805155558,558.4173960906892,75.93461980728395,1234.1430805155558
0111f92ff,628.7326481809529,413.6688234517918,238.98764392240545,628.7326481809529
011350faf,953.2164271824037,953.2164271824037,953.2164271824037,953.2164271824037
01142a354,1156.341250412157,669.2754374530343,18.65029119274036,2257.0466311535497
01186c9fc,335.52792940249975,456.2011414843964,217.50987334027695,815.5656217104124
0118db3a8,519.6926396074429,715.6584820796336,519.6926396074429,911.6243245518242
011a11cda,1045.1543848632639,628.6471585625796,264.9398248332639,1045.1543848632639
01231c438,127.33269632044104,237.54203298612228,127.33269632044104,535.9444341472807
012a1a396,5066.558561560001,4575.769211022061,2848.0549512488888,6167.71906382639
0133b0214,294.8731886546948,257.7357540923696,220.5983195300444,294.8731886546948
0133b2a29,252.8911070113028,807.1608859232925,252.8911070113028,1459.2583912241691
013527aeb,15694.051461856277,15694.051461856277,15694.051461856277,15694.051461856277
0142670c8,357.1077541822222,355.85378867024303,354.5998231582639,357.1077541822222
0143edd0a,333.0680404724121,333.0680404724121,333.0680404724121,333.0680404724121
0146f6d2c,75.0546123263889,75.0546123263889,75.0546123263889,75.0546123263889
0149d04e7,867.6188159115485,895.4872348481174,811.6813724567979,1084.7252616240505
014ce5783,2202.620810634867,2239.5839319002785,2202.620810634867,2276.5470531656897
0154e0f7b,269.3658396212865,196.6564125974593,138.63871093608665,269.3658396212865
01573c686,355.06515547484116,761.2750774161319,355.06515547484116,1237.9469844166663
015770429,296.74066092277127,418.9425082982731,110.65548322878072,892.0986930255465
0157cf3a4,596.5002144166667,1631.5821026550927,590.3676456597223,3707.878447888889
015b8b722,27.910349054378784,90.44210584883412,27.910349054378784,261.3599211192596
015c353ce,5756.17764664907,5355.402130217683,2653.268063627341,9845.319516088774
015c75c9e,250.95697562276135,485.6237957070148,250.95697562276135,923.8485325202308
015da0878,329.3243814655556,236.65132935543195,122.18738748948098,329.3243814655556
015da9e87,433.09437893960927,577.6526405672755,433.09437893960927,994.4846344759371
015fdb354,9431.524896934598,7551.941288429817,1276.0625259517203,9525.964601526875
01603d6e2,576.1450488597394,453.74317452757276,109.28110414737657,901.6674533274121
0162634c2,651.6092384330556,850.7752074597917,651.6092384330556,1080.843613246597
0164a9cfb,282.55690879937504,1228.7680589706756,282.55690879937504,2213.792397699722
016dcf8d4,1214.419262966389,932.3098237303706,238.28937867770827,2710.3741661277086
0173c456c,480.1234285481772,351.33144500497104,58.74562329590515,927.0119827673557
0178fe2f7,3226.676091395556,2673.194763368385,1581.8242806666663,3226.676091395556
017d966eb,409.2645044097702,645.609354882641,119.08566946733262,1713.1667611262478
017eda6dc,683.1868506530556,480.4145683093403,362.44732780770835,683.1868506530556
01802debf,168.3677846882639,748.3575033141744,117.39436488604167,2267.3207328888893
018188075,100.08335988888888,153.46767309452778,74.00810178826391,310.4024287715972
018cb4eaf,1278.1165183505861,1278.1165183505861,1278.1165183505861,1278.1165183505861
018e4d193,165.2414634237826,385.3296320886441,165.2414634237826,605.4178007535055
